,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
1717,Male,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Psychiatrist or Salesman or Counselor,Music,Board games or card games,Inter Personnelle
4927,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1321,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
4338,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Dancer or Athlete or Build,Arts,Sports games,Kinesthetic
1367,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Arts,Pet simulator,Kinesthetic
2252,Female,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Maths,Pet simulator,Naturalistic
2725,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Pet simulator,Spatial
1032,Male,Organizes activities with his friends,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Physical education,Sports games,Kinesthetic
1337,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
3628,Male,Listen to music or plays an instrument,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
3148,Male,Perform scientific experiments,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
4311,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Sports games,Logico Math̩matique
3954,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Intra Personnelle
3872,Female,Draws or scribbles drawings and looks at pictures,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Singer or Music Teacher,Arts,Individual games,Spatial
1249,Male,Invent write and tell stories, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Puzzle games or strategy games,Logico Math̩matique
471,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,writer,Maths,Individual games,Intra Personnelle
3265,Male,Listen to music or plays an instrument,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
3725,Male,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Arts,Individual games,Musical
2386,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Musical
3597,Female,Perform scientific experiments,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Puzzle games or strategy games,Logico Math̩matique
32,Female,Organizes activities with his friends,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Maths,Individual games,Musical
2128,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Mathematics teacher or engineer,Maths,Sports games,Kinesthetic
2511,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,foreign languages,Building games or maze games or drawing guess games,Musical
3935,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1285,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Individual games,Logico Math̩matique
3929,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Maths,Pet simulator,Logico Math̩matique
3087,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
3263,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,foreign languages,Individual games,Linguistic
988,Female,Gather and disassemble things,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Mathematics teacher or engineer,foreign languages,Board games or card games,Linguistic
4337,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
1667,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
3969,Male,Gather and disassemble things,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Artist or Architect,Maths,Sports games,Spatial
2596,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Music,Puzzle games or strategy games,Logico Math̩matique
1588,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Arts,Sports games,Logico Math̩matique
491,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Singer or Music Teacher,foreign languages,Guess the song games,Linguistic
3466,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
812,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Maths,Individual games,Kinesthetic
3109,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Mathematics teacher or engineer,Music,Building games or maze games or drawing guess games,Spatial
290,Male,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
1920,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,Read a lot,Psychiatrist or Salesman or Counselor,Arts,Puzzle games or strategy games,Spatial
3806,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Journalist or lawyer,Maths,Building games or maze games or drawing guess games,Intra Personnelle
2875,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,watches movies and views pictures a lot,Dancer or Athlete or Build,Arts,Building games or maze games or drawing guess games,Spatial
4872,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,writer,Music,Building games or maze games or drawing guess games,Spatial
4595,Male,Perform scientific experiments,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,foreign languages,Puzzle games or strategy games,Logico Math̩matique
4166,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Dancer or Athlete or Build,Maths,Individual games,Intra Personnelle
3603,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,listens to many styles of music often and repeats the song aloud,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
1141,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Dancer or Athlete or Build,Arts,Sports games,Naturalistic
3316,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Gardener or Biologist,Biology and Earth,Pet simulator,Naturalistic
3523,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Board games or card games,Logico Math̩matique
3307,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Maths,Sports games,Logico Math̩matique
1866,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
1560,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Individual games,Logico Math̩matique
2620,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Maths,Sports games,Spatial
3589,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Maths,Pet simulator,Logico Math̩matique
4813,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
741,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,foreign languages,Building games or maze games or drawing guess games,Musical
4019,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Musical
2835,Female,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Building games or maze games or drawing guess games,Logico Math̩matique
2896,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Mathematics teacher or engineer,Maths,Scrabble and word games,Intra Personnelle
3402,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Arts,Sports games,Intra Personnelle
894,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
1525,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
1784,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Spatial
3080,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,Participate in social or sports clubs,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Kinesthetic
2282,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
1533,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Mathematics teacher or engineer,Maths,Sports games,Logico Math̩matique
459,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
1135,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
2470,Female,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Singer or Music Teacher,foreign languages,Puzzle games or strategy games,Logico Math̩matique
3779,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Building games or maze games or drawing guess games,Spatial
1809,Female,Listen to music or plays an instrument,expresses himself with a rich vocabulary,listens to many styles of music often and repeats the song aloud,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
3216,Female,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Biology and Earth,Pet simulator,Naturalistic
1450,Male,Gather and disassemble things,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Individual games,Linguistic
3929,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Maths,Pet simulator,Logico Math̩matique
3824,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Kinesthetic
85,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
2797,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Dancer or Athlete or Build,Maths,Sports games,Musical
4335,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
1542,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Mathematics teacher or engineer,Biology and Earth,Building games or maze games or drawing guess games,Spatial
3706,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
4727,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Biology and Earth,Sports games,Kinesthetic
695,Male,Organizes activities with his friends,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Mathematics teacher or engineer,Physical education,Individual games,Kinesthetic
1361,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
3339,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
2068,Male,Perform scientific experiments,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Music,Puzzle games or strategy games,Logico Math̩matique
4361,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1596,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Singer or Music Teacher,Biology and Earth,Puzzle games or strategy games,Kinesthetic
3642,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Music,Pet simulator,Naturalistic
3295,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
4585,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Individual games,Logico Math̩matique
1608,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Spatial
2334,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Mathematics teacher or engineer,foreign languages,Building games or maze games or drawing guess games,Kinesthetic
2005,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Musical
341,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Building games or maze games or drawing guess games,Kinesthetic
1964,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Artist or Architect,Maths,Sports games,Kinesthetic
3650,Male,Perform scientific experiments,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Puzzle games or strategy games,Logico Math̩matique
2235,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
3937,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
2376,Male,Organizes activities with his friends,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Singer or Music Teacher,Music,Sports games,Musical
3732,Female,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Arts,Sports games,Kinesthetic
4155,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Singer or Music Teacher,Maths,Puzzle games or strategy games,Kinesthetic
1017,Male,Invent write and tell stories,decides for himself what he think to do and tracks his personal interests alone,Participate in social or sports clubs,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Inter Personnelle
870,Female,Organizes activities with his friends,solve complex problems easily and have the ability to do mental math quickly,watches movies and views pictures a lot,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
1434,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4335,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
623,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
2801,Male,Listen to music or plays an instrument, has the ability to easily recognize birds plants and trees,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Maths,Guess the song games,Musical
2562,Male,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,foreign languages,Puzzle games or strategy games,Logico Math̩matique
2393,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,foreign languages,Individual games,Intra Personnelle
4868,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Mathematics teacher or engineer,Physical education,Sports games,Spatial
1888,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Maths,Individual games,Kinesthetic
2215,Male,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
2676,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,watches movies and views pictures a lot,writer,Maths,Individual games,Logico Math̩matique
1583,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
1376,Male,Perform scientific experiments,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Logico Math̩matique
3642,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Music,Pet simulator,Naturalistic
2906,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Music,Puzzle games or strategy games,Logico Math̩matique
1324,Male,Listen to music or plays an instrument, has the ability to easily recognize birds plants and trees,reacts strongly to controversial opinions,Dancer or Athlete or Build,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1481,Male,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Biology and Earth,Building games or maze games or drawing guess games,Spatial
2730,Female,Listen to music or plays an instrument,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
4365,Female,Invent write and tell stories, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Scrabble and word games,Linguistic
346,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Arts,Sports games,Spatial
378,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Logico Math̩matique
2523,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Building games or maze games or drawing guess games,Spatial
3615,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Music,Individual games,Spatial
4316,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Sports games,Kinesthetic
579,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1428,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
4669,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Mathematics teacher or engineer,Arts,Sports games,Intra Personnelle
573,Male,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Music,Puzzle games or strategy games,Logico Math̩matique
1836,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
4614,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4513,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Artist or Architect,Maths,Sports games,Kinesthetic
2052,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,Participate in social or sports clubs,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
3085,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Spatial
1281,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
2820,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Building games or maze games or drawing guess games,Musical
2312,Male,Organizes activities with his friends,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Artist or Architect,Maths,Puzzle games or strategy games,Spatial
2021,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Journalist or lawyer,Maths,Individual games,Intra Personnelle
4949,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Artist or Architect,Maths,Sports games,Kinesthetic
3775,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,foreign languages,Individual games,Intra Personnelle
1060,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Kinesthetic
3509,Male,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
3103,Female,Perform scientific experiments,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
3613,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Physical education,Building games or maze games or drawing guess games,Musical
