,He likes to be part of a team and enjoy collective activities,It's fun to be with others more than to be alone,Likes to help others,Loves to share his knowledge,It is important for him to follow his own way,He likes to try new things,He do not like to follow the rules,He likes to change things by himself,It is important for him that is always his duties in full,He likes to defeat obstacles,He loves competitions where they can win a prize,If sufficient reward will strive,Playertype
4759,neutral,Does not like,neutral,Does not like,Does not like,Likes,Does not like,neutral,Does not like,Likes,Does not like,Does not like,type_achiever
3106,neutral,Likes,neutral,neutral,Likes,Does not like,Does not like,Likes,Likes,neutral,neutral,Does not like,type_socializer
3898,Does not like,Likes,neutral,Does not like,Does not like,Likes,neutral,neutral,neutral,Does not like,neutral,neutral,type_socializer
4965,Likes,Does not like,Likes,Likes,Likes,Does not like,Does not like,neutral,neutral,Likes,Does not like,neutral,type_philanthropist
1673,Does not like,Likes,Likes,Likes,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,type_philanthropist
3316,neutral,Does not like,neutral,Likes,Does not like,neutral,Likes,Does not like,neutral,Does not like,Likes,neutral,type_player
2905,neutral,Likes,neutral,Likes,neutral,Likes,neutral,Does not like,Likes,Does not like,Does not like,Likes,type_socializer
4733,Likes,Does not like,Does not like,Likes,neutral,neutral,neutral,Does not like,Does not like,neutral,Likes,Likes,type_player
2834,Does not like,Likes,neutral,neutral,Likes,Likes,Does not like,Does not like,Likes,Likes,Likes,neutral,type_achiever
2458,Likes,Does not like,Does not like,Does not like,Does not like,neutral,neutral,neutral,Does not like,Does not like,Likes,Likes,type_player
4391,neutral,Likes,Likes,neutral,neutral,Does not like,neutral,Likes,Likes,Does not like,Does not like,neutral,type_socializer
2559,Does not like,Likes,neutral,neutral,neutral,neutral,Does not like,Likes,neutral,Does not like,Likes,Likes,type_player
1044,Likes,Likes,Likes,Does not like,Likes,neutral,Does not like,neutral,Likes,Likes,Does not like,Likes,type_socializer
1279,Does not like,Likes,neutral,neutral,neutral,Does not like,neutral,Likes,neutral,neutral,neutral,Likes,type_disruptor
1531,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,neutral,Likes,neutral,Likes,neutral,type_achiever
4084,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,neutral,neutral,neutral,Likes,Likes,neutral,type_achiever
2408,Does not like,neutral,Does not like,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,Does not like,Does not like,type_achiever
2099,neutral,neutral,Does not like,Does not like,Does not like,Likes,Does not like,Likes,Likes,Does not like,neutral,neutral,type_socializer
373,neutral,Does not like,neutral,Does not like,neutral,Does not like,neutral,Likes,Does not like,neutral,Likes,Likes,type_player
1780,neutral,Likes,neutral,neutral,neutral,Does not like,Does not like,neutral,Likes,Likes,neutral,Does not like,type_achiever
875,neutral,neutral,Likes,Does not like,Does not like,Likes,Likes,neutral,Does not like,Does not like,Likes,neutral,type_disruptor
2195,Does not like,Does not like,Does not like,neutral,Does not like,neutral,Does not like,Likes,neutral,Likes,neutral,neutral,type_achiever
1196,Likes,Likes,Likes,Likes,Likes,Likes,Likes,Does not like,neutral,neutral,neutral,Does not like,type_socializer
22,Likes,Likes,Does not like,Likes,neutral,Likes,Does not like,Likes,Does not like,neutral,Likes,Does not like,type_socializer
4963,Likes,neutral,Likes,neutral,Likes,Likes,neutral,neutral,Does not like,Likes,neutral,Does not like,type_freeSpirit
1693,neutral,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,Likes,Does not like,neutral,Likes,type_player
3138,Likes,Likes,Does not like,Likes,neutral,neutral,neutral,neutral,Likes,Likes,Does not like,Likes,type_socializer
2095,Likes,neutral,neutral,neutral,neutral,Likes,Likes,Likes,neutral,neutral,Does not like,neutral,type_disruptor
2854,neutral,neutral,Does not like,neutral,neutral,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Likes,type_socializer
2503,neutral,Does not like,Does not like,Does not like,neutral,neutral,Likes,neutral,Does not like,neutral,Does not like,Likes,type_disruptor
2167,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Does not like,neutral,neutral,Does not like,Likes,Does not like,type_player
2224,Does not like,Likes,Does not like,Likes,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,type_socializer
2986,Does not like,neutral,neutral,Does not like,Likes,neutral,Does not like,Likes,neutral,Likes,Likes,neutral,type_achiever
1153,Likes,neutral,Likes,neutral,neutral,Likes,neutral,neutral,Does not like,Likes,Likes,Likes,type_player
3208,neutral,Does not like,neutral,neutral,Does not like,Does not like,Likes,Does not like,neutral,neutral,neutral,Likes,type_player
2094,Does not like,Does not like,Does not like,Likes,neutral,Does not like,Likes,Likes,Does not like,Does not like,Likes,Does not like,type_disruptor
921,Likes,Does not like,Likes,Likes,neutral,neutral,neutral,Likes,Likes,Does not like,neutral,neutral,type_philanthropist
1692,neutral,Likes,neutral,Likes,Likes,Does not like,Likes,neutral,Likes,neutral,Likes,Likes,type_player
1959,Likes,neutral,Does not like,neutral,Likes,Likes,neutral,neutral,neutral,Does not like,neutral,Does not like,type_freeSpirit
560,Does not like,Does not like,Likes,Likes,Does not like,Does not like,neutral,neutral,Does not like,neutral,neutral,neutral,type_philanthropist
87,Likes,Does not like,Likes,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,Does not like,type_philanthropist
4278,Does not like,Does not like,Likes,Likes,Does not like,Does not like,Likes,Likes,Likes,Does not like,Does not like,neutral,type_disruptor
557,Does not like,neutral,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Likes,Does not like,neutral,type_achiever
1475,Likes,Likes,Does not like,Does not like,Likes,Likes,neutral,Likes,Does not like,Likes,Likes,Likes,type_socializer
1106,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Likes,Does not like,Likes,Likes,Does not like,Likes,type_achiever
141,Likes,neutral,Does not like,Does not like,Does not like,neutral,neutral,neutral,Does not like,neutral,neutral,neutral,type_socializer
2243,Likes,Does not like,Likes,neutral,Does not like,Likes,Likes,neutral,neutral,Likes,Likes,neutral,type_achiever
1916,Likes,Likes,Does not like,neutral,neutral,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,type_socializer
359,Likes,neutral,Does not like,Likes,neutral,Likes,Likes,Likes,Likes,Does not like,Does not like,Does not like,type_disruptor
533,Likes,Likes,neutral,Does not like,neutral,Does not like,neutral,neutral,Likes,neutral,Likes,Does not like,type_socializer
4191,Does not like,Does not like,neutral,neutral,neutral,Does not like,Does not like,Does not like,neutral,neutral,neutral,neutral,type_achiever
720,Does not like,Does not like,Does not like,Likes,Does not like,Does not like,neutral,Likes,Likes,Likes,Likes,Does not like,type_achiever
1481,Does not like,Does not like,Likes,Does not like,Likes,Likes,Likes,Does not like,Does not like,neutral,Likes,Does not like,type_freeSpirit
4220,neutral,Does not like,Does not like,Does not like,Does not like,Likes,Likes,Likes,Does not like,Does not like,neutral,Does not like,type_disruptor
3017,Likes,Does not like,neutral,Does not like,Does not like,Likes,Likes,neutral,Likes,neutral,Likes,Likes,type_player
3204,Does not like,neutral,neutral,Does not like,Does not like,Likes,Likes,Likes,neutral,neutral,Likes,neutral,type_disruptor
4526,Likes,Does not like,Does not like,neutral,neutral,neutral,neutral,neutral,Does not like,neutral,neutral,neutral,type_socializer
2638,Does not like,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,neutral,Does not like,type_freeSpirit
371,neutral,Likes,Likes,Does not like,Likes,Likes,Likes,neutral,Likes,neutral,Does not like,Likes,type_freeSpirit
4309,Does not like,Likes,Does not like,Does not like,Likes,Likes,Likes,Likes,Likes,Does not like,Likes,Likes,type_disruptor
3945,Likes,Likes,neutral,Does not like,neutral,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Does not like,type_socializer
4472,Likes,Likes,neutral,Does not like,neutral,Likes,Likes,neutral,Likes,Does not like,Does not like,Likes,type_socializer
837,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,Likes,Does not like,Does not like,neutral,Does not like,type_disruptor
414,neutral,Likes,neutral,Does not like,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Does not like,type_socializer
2058,neutral,Likes,Likes,Does not like,Likes,neutral,Does not like,Does not like,Likes,neutral,Does not like,Likes,type_socializer
1761,Does not like,Does not like,Likes,neutral,neutral,neutral,Does not like,Does not like,Likes,Does not like,neutral,neutral,type_philanthropist
1632,Does not like,neutral,Does not like,Does not like,Likes,neutral,Likes,Does not like,neutral,Does not like,Does not like,neutral,type_freeSpirit
1645,Likes,Does not like,Likes,neutral,Likes,Likes,Does not like,Does not like,Does not like,neutral,neutral,neutral,type_freeSpirit
4774,Does not like,neutral,Does not like,Does not like,neutral,neutral,neutral,neutral,neutral,Likes,Does not like,Likes,type_achiever
482,Likes,Likes,Does not like,Does not like,Does not like,Does not like,neutral,Likes,neutral,Does not like,Likes,Likes,type_socializer
3876,Likes,neutral,Likes,neutral,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Does not like,Likes,type_socializer
307,Likes,neutral,Likes,Likes,Does not like,neutral,Likes,neutral,neutral,Does not like,neutral,Does not like,type_philanthropist
1401,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,Likes,Likes,Likes,Does not like,neutral,type_achiever
3363,Does not like,neutral,Does not like,neutral,Likes,Does not like,neutral,neutral,Does not like,neutral,Likes,Does not like,type_disruptor
415,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Likes,Does not like,neutral,Does not like,Likes,Does not like,type_disruptor
3900,Does not like,Likes,Does not like,Likes,Does not like,Likes,Does not like,Does not like,neutral,Does not like,Likes,Likes,type_player
218,Likes,Likes,Likes,neutral,neutral,Does not like,Does not like,Does not like,neutral,Likes,neutral,Does not like,type_socializer
1443,Does not like,neutral,neutral,Does not like,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,Does not like,type_freeSpirit
1567,neutral,Does not like,Likes,neutral,neutral,neutral,Does not like,neutral,Does not like,Likes,Likes,neutral,type_player
1292,Does not like,neutral,neutral,Does not like,Does not like,Does not like,neutral,Likes,Likes,neutral,Does not like,Likes,type_achiever
1211,neutral,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,Likes,neutral,Does not like,neutral,type_socializer
3120,Likes,Does not like,Does not like,Does not like,Likes,Likes,Does not like,neutral,Likes,Does not like,Likes,Does not like,type_freeSpirit
3101,neutral,neutral,Does not like,Likes,neutral,neutral,Likes,Likes,Likes,Does not like,Does not like,Likes,type_disruptor
2782,Likes,neutral,Does not like,neutral,neutral,Does not like,Does not like,neutral,Does not like,Likes,Likes,neutral,type_socializer
3381,neutral,Does not like,Does not like,neutral,neutral,Does not like,Likes,Likes,Does not like,Does not like,Likes,Likes,type_disruptor
1417,Does not like,Does not like,Does not like,Likes,Does not like,Likes,neutral,Does not like,Does not like,Likes,neutral,Does not like,type_achiever
1947,neutral,Does not like,neutral,Likes,Does not like,neutral,neutral,Likes,Does not like,Does not like,Does not like,neutral,type_disruptor
2437,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,neutral,neutral,Does not like,Does not like,Does not like,type_disruptor
3242,neutral,neutral,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Likes,Likes,Does not like,Does not like,type_achiever
2603,neutral,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Does not like,neutral,neutral,Does not like,type_socializer
4069,neutral,Does not like,Likes,Does not like,Likes,neutral,Likes,Does not like,Likes,Does not like,Does not like,Does not like,type_freeSpirit
1370,Likes,Likes,Likes,Likes,Does not like,Does not like,Does not like,neutral,neutral,neutral,Does not like,Likes,type_socializer
2662,Likes,neutral,neutral,Does not like,neutral,Does not like,Likes,Does not like,Likes,Likes,Likes,neutral,type_achiever
1026,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Does not like,neutral,neutral,Likes,Likes,type_socializer
3287,neutral,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Likes,Likes,neutral,neutral,type_achiever
4717,Likes,Likes,neutral,Likes,Does not like,Likes,neutral,neutral,neutral,neutral,Does not like,neutral,type_socializer
162,neutral,Likes,neutral,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Likes,neutral,type_socializer
3498,neutral,Likes,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,type_socializer
945,Likes,neutral,Likes,neutral,Likes,neutral,neutral,neutral,Likes,Does not like,Likes,Likes,type_player
3591,Likes,Does not like,neutral,neutral,Likes,neutral,neutral,Does not like,Does not like,neutral,Likes,neutral,type_player
4702,neutral,neutral,neutral,neutral,Does not like,neutral,Does not like,Does not like,Likes,neutral,Does not like,Likes,type_achiever
511,Likes,Likes,neutral,Likes,Likes,Likes,Does not like,neutral,neutral,Does not like,Likes,neutral,type_socializer
2916,Likes,Likes,Does not like,Does not like,Likes,Does not like,neutral,Does not like,neutral,Does not like,Does not like,Likes,type_socializer
3155,neutral,neutral,Does not like,Likes,Likes,Does not like,Does not like,neutral,neutral,neutral,Does not like,Does not like,type_socializer
489,Does not like,Likes,neutral,neutral,Likes,neutral,Does not like,neutral,neutral,Does not like,neutral,neutral,type_freeSpirit
2322,neutral,Likes,Does not like,Does not like,Likes,Likes,Does not like,Likes,neutral,Does not like,Does not like,Likes,type_freeSpirit
1438,neutral,neutral,Does not like,neutral,neutral,Does not like,Likes,Likes,neutral,Does not like,Likes,Likes,type_disruptor
4972,neutral,Likes,Likes,Likes,neutral,neutral,neutral,Likes,neutral,Does not like,Does not like,neutral,type_philanthropist
2744,Likes,neutral,Does not like,neutral,Likes,neutral,neutral,Does not like,Does not like,Likes,Likes,Does not like,type_socializer
3155,neutral,neutral,Does not like,Likes,Likes,Does not like,Does not like,neutral,neutral,neutral,Does not like,Does not like,type_socializer
684,Likes,neutral,Does not like,Likes,neutral,neutral,Likes,Does not like,Likes,Likes,Does not like,neutral,type_achiever
4983,Does not like,Likes,neutral,Likes,neutral,Does not like,Does not like,Does not like,neutral,neutral,Does not like,Does not like,type_philanthropist
2930,Does not like,neutral,Does not like,Likes,Does not like,neutral,neutral,neutral,Likes,Does not like,Does not like,Does not like,type_achiever
4200,neutral,Does not like,neutral,neutral,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Likes,Likes,type_player
167,neutral,Does not like,Does not like,Likes,Does not like,neutral,Likes,Does not like,neutral,neutral,Likes,neutral,type_player
3009,Does not like,Does not like,Likes,neutral,Does not like,Likes,Likes,neutral,neutral,Likes,Likes,Does not like,type_achiever
4615,neutral,neutral,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,Does not like,Likes,neutral,type_philanthropist
1402,Likes,Likes,Likes,neutral,Does not like,Does not like,neutral,Likes,Does not like,neutral,Likes,neutral,type_socializer
3723,neutral,Does not like,Likes,Does not like,Likes,Does not like,Does not like,Likes,neutral,neutral,neutral,neutral,type_achiever
4389,neutral,Likes,Does not like,Likes,Does not like,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Does not like,type_socializer
764,Does not like,Likes,Likes,Likes,Likes,neutral,Likes,Likes,Does not like,Likes,Likes,Likes,type_disruptor
2351,neutral,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,type_disruptor
3659,neutral,neutral,neutral,Does not like,neutral,Does not like,Does not like,Likes,neutral,Likes,neutral,Likes,type_achiever
2554,Likes,Does not like,Does not like,Likes,neutral,neutral,neutral,Likes,Likes,neutral,neutral,neutral,type_achiever
3994,neutral,neutral,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,type_socializer
4125,Does not like,Likes,neutral,Likes,Does not like,Does not like,Likes,Likes,Does not like,neutral,neutral,Does not like,type_disruptor
194,Likes,Does not like,Does not like,Does not like,Likes,Does not like,Likes,neutral,Likes,Does not like,Likes,neutral,type_disruptor
1890,neutral,neutral,Does not like,Does not like,Does not like,Likes,neutral,Does not like,Likes,Likes,Does not like,Does not like,type_achiever
505,Likes,Does not like,Likes,neutral,Does not like,neutral,Likes,Likes,Likes,Likes,Does not like,Does not like,type_achiever
1270,Likes,Likes,neutral,neutral,Does not like,Does not like,neutral,Does not like,Likes,Likes,neutral,neutral,type_socializer
119,neutral,neutral,Likes,Likes,neutral,Does not like,neutral,Likes,neutral,Likes,Likes,Does not like,type_philanthropist
129,Likes,Does not like,Likes,Likes,neutral,Does not like,Does not like,Likes,Likes,Does not like,Likes,Does not like,type_philanthropist
1513,Likes,Likes,Does not like,neutral,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,Does not like,type_socializer
178,Likes,Likes,Likes,neutral,neutral,Does not like,neutral,neutral,neutral,neutral,Likes,Does not like,type_socializer
4922,neutral,Likes,Likes,Does not like,neutral,Likes,neutral,Likes,Likes,Does not like,Likes,neutral,type_socializer
4570,Likes,Does not like,Does not like,Likes,Likes,neutral,neutral,neutral,neutral,Likes,Does not like,Does not like,type_achiever
2093,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,neutral,neutral,Likes,type_disruptor
4579,neutral,neutral,Does not like,neutral,Likes,Likes,neutral,Does not like,Likes,Does not like,Likes,neutral,type_freeSpirit
2115,Likes,neutral,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,Does not like,type_socializer
1055,Does not like,Does not like,Likes,neutral,Does not like,neutral,Likes,Does not like,Likes,neutral,neutral,Likes,type_achiever
1471,Likes,Likes,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Likes,Likes,type_socializer
192,neutral,neutral,Does not like,Does not like,Likes,Does not like,Likes,Likes,Likes,Likes,neutral,Does not like,type_achiever
3788,neutral,neutral,Likes,Does not like,Does not like,Likes,Likes,Does not like,Does not like,Likes,Does not like,Does not like,type_socializer
2899,Does not like,neutral,neutral,Likes,neutral,Does not like,Does not like,Does not like,Likes,Likes,neutral,Does not like,type_achiever
1506,Does not like,Does not like,Likes,Does not like,neutral,Does not like,neutral,Likes,neutral,neutral,Does not like,Likes,type_disruptor
4473,neutral,Likes,Does not like,Does not like,Likes,neutral,Likes,Does not like,Does not like,neutral,Does not like,Likes,type_socializer
1013,Likes,Does not like,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Likes,Likes,Likes,type_player
622,Does not like,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,Does not like,Does not like,Likes,neutral,type_disruptor
3974,Likes,Likes,Does not like,neutral,Likes,neutral,neutral,neutral,Does not like,Likes,neutral,Likes,type_socializer
2851,Likes,Likes,Likes,Likes,Likes,Does not like,neutral,Does not like,Likes,neutral,neutral,Likes,type_socializer
1161,Likes,Likes,Likes,Likes,Likes,neutral,Likes,Likes,neutral,Does not like,Likes,Does not like,type_socializer
4709,Likes,neutral,Does not like,neutral,Does not like,Does not like,Likes,Does not like,Does not like,neutral,neutral,Does not like,type_socializer
3183,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,Likes,neutral,neutral,Likes,Does not like,type_disruptor
3957,Likes,Likes,Likes,neutral,Likes,Likes,Likes,neutral,neutral,neutral,Does not like,Likes,type_socializer
4133,neutral,neutral,Does not like,neutral,Likes,Likes,Does not like,neutral,Likes,Does not like,neutral,Does not like,type_freeSpirit
1167,Likes,neutral,Likes,Likes,Likes,Likes,Likes,Likes,neutral,neutral,Does not like,Does not like,type_disruptor
3979,Does not like,neutral,neutral,Does not like,Likes,Likes,neutral,Likes,neutral,Likes,neutral,Does not like,type_freeSpirit
206,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,neutral,neutral,Likes,Likes,Does not like,neutral,type_achiever
1545,Does not like,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,neutral,Likes,Does not like,Likes,type_achiever
567,Likes,Likes,neutral,neutral,Likes,Does not like,Likes,Does not like,Does not like,neutral,Likes,neutral,type_socializer
4875,Does not like,Likes,Likes,neutral,Likes,Likes,neutral,Does not like,Does not like,Does not like,neutral,neutral,type_freeSpirit
4795,Does not like,Likes,neutral,neutral,Does not like,Does not like,neutral,neutral,neutral,Does not like,Likes,Likes,type_player
1513,Likes,Likes,Does not like,neutral,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,Does not like,type_socializer
984,Likes,Likes,neutral,Does not like,Likes,Does not like,Likes,Does not like,Does not like,Does not like,neutral,neutral,type_socializer
715,neutral,Likes,Likes,neutral,Likes,neutral,neutral,neutral,Likes,neutral,Likes,Does not like,type_socializer
1591,neutral,Does not like,Does not like,neutral,Likes,Does not like,Likes,neutral,neutral,Likes,Does not like,neutral,type_achiever
1493,neutral,Does not like,Likes,Does not like,Likes,Likes,Does not like,neutral,neutral,neutral,neutral,Likes,type_freeSpirit
4287,Likes,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Does not like,Likes,neutral,neutral,type_socializer
1553,Does not like,Does not like,Does not like,Does not like,Likes,neutral,Does not like,neutral,Likes,Likes,Likes,neutral,type_achiever
1671,Does not like,Likes,Likes,neutral,neutral,Likes,neutral,neutral,Likes,Likes,Does not like,neutral,type_achiever
2216,neutral,Likes,Does not like,neutral,Likes,neutral,Likes,Likes,neutral,Likes,neutral,Likes,type_disruptor
1303,Does not like,Does not like,neutral,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Likes,Does not like,neutral,type_disruptor
3433,Likes,Likes,Does not like,Does not like,neutral,Does not like,neutral,Likes,Likes,neutral,Likes,neutral,type_socializer
84,neutral,Likes,neutral,Does not like,Does not like,Does not like,neutral,Likes,Likes,neutral,Likes,Likes,type_player
3208,neutral,Does not like,neutral,neutral,Does not like,Does not like,Likes,Does not like,neutral,neutral,neutral,Likes,type_player
1054,neutral,neutral,Does not like,Likes,Likes,Likes,Does not like,neutral,Likes,Does not like,Likes,Does not like,type_freeSpirit
4833,neutral,Likes,neutral,neutral,neutral,neutral,Likes,Likes,neutral,Does not like,Likes,Does not like,type_disruptor
1111,Likes,Likes,Does not like,Does not like,neutral,Does not like,Likes,Likes,Does not like,Likes,Does not like,Does not like,type_socializer
2657,Does not like,Likes,Likes,neutral,Likes,neutral,Does not like,Does not like,Does not like,Does not like,Does not like,Does not like,type_philanthropist
3795,Does not like,Likes,Does not like,Does not like,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,neutral,type_disruptor
2928,neutral,Does not like,neutral,neutral,neutral,Likes,Likes,Does not like,Likes,neutral,Likes,Does not like,type_achiever
1816,Likes,Does not like,Likes,Does not like,Does not like,Likes,Likes,Does not like,Likes,neutral,Does not like,Likes,type_achiever
4231,neutral,neutral,Likes,neutral,Does not like,Does not like,Likes,Does not like,Likes,Likes,Likes,Likes,type_achiever
54,neutral,neutral,Likes,neutral,Likes,Does not like,Likes,Likes,Likes,neutral,Likes,Likes,type_disruptor
3190,neutral,Likes,Does not like,Likes,Likes,Does not like,neutral,Does not like,neutral,Does not like,Likes,neutral,type_socializer
1755,neutral,Likes,Does not like,Likes,neutral,Does not like,neutral,Does not like,Likes,Likes,neutral,neutral,type_achiever
4394,Likes,neutral,Does not like,Does not like,Likes,Likes,Likes,Does not like,neutral,Does not like,Does not like,neutral,type_freeSpirit
3656,neutral,neutral,Does not like,Likes,Likes,Likes,Likes,Likes,Likes,neutral,Does not like,Does not like,type_disruptor
2915,neutral,neutral,Does not like,Likes,Does not like,Does not like,neutral,Does not like,neutral,Likes,neutral,Does not like,type_achiever
2647,Does not like,neutral,Does not like,Does not like,Does not like,Likes,neutral,Likes,neutral,Likes,Likes,Does not like,type_achiever
2815,neutral,Likes,Likes,Does not like,Does not like,Does not like,Likes,neutral,neutral,Does not like,Likes,Likes,type_player
1839,Likes,Does not like,neutral,neutral,neutral,Does not like,neutral,Does not like,neutral,Likes,Does not like,neutral,type_achiever
1649,Likes,neutral,Likes,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,Does not like,Does not like,type_socializer
767,Does not like,neutral,Does not like,Does not like,neutral,neutral,neutral,Does not like,neutral,neutral,Does not like,neutral,type_achiever
4046,Does not like,Does not like,Likes,neutral,Does not like,Likes,Does not like,Likes,Likes,Does not like,Likes,neutral,type_player
2856,Likes,Likes,Likes,Likes,neutral,neutral,Does not like,Does not like,Does not like,Likes,Does not like,neutral,type_socializer
3839,Likes,Likes,Does not like,Likes,Likes,Likes,neutral,neutral,neutral,Likes,neutral,Does not like,type_socializer
154,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,neutral,Likes,neutral,Does not like,Likes,type_socializer
784,Does not like,Does not like,neutral,neutral,Likes,Does not like,Does not like,Likes,Likes,neutral,Likes,Likes,type_player
2906,Does not like,Does not like,neutral,Likes,neutral,Likes,Likes,neutral,Likes,Does not like,neutral,Likes,type_disruptor
49,Likes,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,Likes,Likes,Likes,neutral,type_socializer
966,Does not like,Does not like,neutral,Does not like,Likes,neutral,Likes,Likes,Does not like,Does not like,neutral,neutral,type_disruptor
4365,Likes,Does not like,neutral,Likes,Likes,Does not like,Likes,Likes,Likes,Does not like,neutral,Likes,type_disruptor
4579,neutral,neutral,Does not like,neutral,Likes,Likes,neutral,Does not like,Likes,Does not like,Likes,neutral,type_freeSpirit
3375,Likes,Does not like,neutral,neutral,Likes,neutral,neutral,neutral,Does not like,neutral,Does not like,Does not like,type_freeSpirit
917,Does not like,neutral,neutral,Does not like,neutral,Likes,neutral,Does not like,Likes,Likes,Likes,Does not like,type_achiever
641,neutral,Likes,Likes,neutral,Does not like,Likes,Likes,neutral,Does not like,Does not like,Likes,Likes,type_player
4874,Likes,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,type_socializer
2046,Does not like,neutral,neutral,neutral,Does not like,neutral,neutral,neutral,Likes,Likes,Likes,Likes,type_achiever
1680,Likes,neutral,Likes,Likes,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Likes,neutral,type_philanthropist
1918,Likes,Does not like,Likes,Does not like,neutral,Likes,Likes,Likes,neutral,neutral,Likes,neutral,type_disruptor
3474,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Likes,type_player
4304,neutral,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,type_disruptor
1858,Likes,neutral,Does not like,Likes,Likes,neutral,Likes,Does not like,neutral,neutral,neutral,Likes,type_socializer
1823,Does not like,neutral,neutral,Does not like,Does not like,Does not like,Likes,Likes,neutral,neutral,Does not like,Does not like,type_disruptor
241,neutral,Likes,Likes,neutral,Does not like,Likes,Likes,neutral,neutral,Does not like,neutral,Does not like,type_socializer
558,neutral,neutral,neutral,neutral,Does not like,Likes,Likes,Likes,Likes,Does not like,Does not like,neutral,type_disruptor
2566,Does not like,Likes,neutral,Likes,Likes,neutral,neutral,Does not like,neutral,Does not like,Does not like,Does not like,type_philanthropist
1093,Likes,Likes,neutral,Likes,neutral,neutral,Likes,Does not like,Does not like,neutral,Does not like,Does not like,type_socializer
924,Likes,neutral,Does not like,Does not like,Does not like,Does not like,Likes,neutral,neutral,Does not like,neutral,neutral,type_socializer
153,Likes,Does not like,neutral,neutral,Does not like,Likes,Likes,neutral,Does not like,Does not like,Likes,Likes,type_player
2973,Does not like,Does not like,Likes,Likes,neutral,neutral,Likes,Does not like,Does not like,Does not like,neutral,Does not like,type_philanthropist
4214,Does not like,Does not like,Likes,Likes,neutral,neutral,Likes,Likes,Likes,Likes,neutral,Likes,type_achiever
3474,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Likes,type_player
1936,Likes,Likes,Likes,neutral,neutral,neutral,neutral,Likes,Does not like,Does not like,Does not like,neutral,type_socializer
2319,Does not like,neutral,Likes,Likes,neutral,neutral,Likes,Does not like,Likes,Does not like,Does not like,neutral,type_philanthropist
